diacritical_marks_vietnamese,no_accents_mark_vietnamese
Anh ta chết vì làm việc quá sức.,Anh ta chet vi lam viec qua suc.
Anh ấy là người cười cuối cùng.,Anh ay la nguoi cuoi cuoi cung.
Anh ta vừa về nhà.,Anh ta vua ve nha.
Ông ấy chắc phải hơn 50 tuổi.,Ong ay chac phai hon 50 tuoi.
Anh ấy hay giúp đỡ người khác.,Anh ay hay giup do nguoi khac.
Anh ấy hít một hơi thật sâu.,Anh ay hit mot hoi that sau.
Ông ấy đã hít một hơi thật sâu.,Ong ay da hit mot hoi that sau.
Anh ấy được chọn làm đội trưởng.,Anh ay duoc chon lam doi truong.
Anh ấy không bao giờ nói dối.,Anh ay khong bao gio noi doi.
Anh ta không phải là người xấu.,Anh ta khong phai la nguoi xau.
Anh ta không phải người xấu.,Anh ta khong phai nguoi xau.
Lớp mới của bạn thế nào?,Lop moi cua ban the nao?
Cái nhẫn này bao nhiêu tiền?,Cai nhan nay bao nhieu tien?
Chiếc nhẫn này có giá bao nhiêu?,Chiec nhan nay co gia bao nhieu?
Cái nhẫn này giá bao nhiêu?,Cai nhan nay gia bao nhieu?
Tôi không bơi giỏi.,Toi khong boi gioi.
Tôi bơi không giỏi.,Toi boi khong gioi.
Tôi không thể nói chuyện với các cô gái.,Toi khong the noi chuyen voi cac co gai.
Tôi không thể nói dối bạn.,Toi khong the noi doi ban.
Tôi không thích ở một mình đâu.,Toi khong thich o mot minh dau.
Tôi không thích ở một mình.,Toi khong thich o mot minh.
Tôi không quan tâm đến bia.,Toi khong quan tam den bia.
Tôi không muốn lái xe đâu.,Toi khong muon lai xe dau.
Tôi có cuộc gọi từ Tom.,Toi co cuoc goi tu Tom.
Tôi chỉ mang theo một ít tiền.,Toi chi mang theo mot it tien.
Tôi có lớp ngày mai.,Toi co lop ngay mai.
Tôi phải làm bài tập.,Toi phai lam bai tap.
Hy vọng bạn không thấy phiền.,Hy vong ban khong thay phien.
Tôi mong là bạn hiểu.,Toi mong la ban hieu.
Tôi thích chơi tennis.,Toi thich choi tennis.
Tôi đã mất hứng.,Toi da mat hung.
Tôi đã mất hứng thú.,Toi da mat hung thu.
Tôi đã không còn hứng thú.,Toi da khong con hung thu.
Tôi cần có một máy vi tính mới.,Toi can co mot may vi tinh moi.
Tôi cần bạn làm điều đó.,Toi can ban lam dieu do.
Tôi cần bạn làm việc đó.,Toi can ban lam viec do.
Tôi đã hoãn sự kiện lại.,Toi da hoan su kien lai.
Tôi thật sự muốn biết.,Toi that su muon biet.
Tôi đi làm bằng xe đạp.,Toi di lam bang xe dap.
Tôi tưởng anh ấy bị ốm.,Toi tuong anh ay bi om.
Tôi tưởng ông ấy bệnh,Toi tuong ong ay benh
Tôi muốn đi cùng với bạn.,Toi muon di cung voi ban.
Tôi muốn nói chuyện với cô.,Toi muon noi chuyen voi co.
Tôi đã muốn chơi gôn.,Toi da muon choi gon.
Tôi đã muốn chơi golf.,Toi da muon choi golf.
Ngày mai tôi sẽ không đến.,Ngay mai toi se khong den.
Tôi sẽ ở đây cả tuần.,Toi se o day ca tuan.
Tôi đang làm bài tập về nhà.,Toi dang lam bai tap ve nha.
Tôi rất vui vì có thể giúp được bạn.,Toi rat vui vi co the giup duoc ban.
Tôi sẽ ngồi xuống.,Toi se ngoi xuong.
Tôi sẽ không dừng lại.,Toi se khong dung lai.
Tôi sẽ không đợi.,Toi se khong doi.
Tôi đã mượn một cái bàn.,Toi da muon mot cai ban.
Tôi đã mượn một chiếc bàn.,Toi da muon mot chiec ban.
Tôi đã thanh toán cho bạn rồi.,Toi da thanh toan cho ban roi.
Có đau không?,Co dau khong?
Nó ở dưới cái ghế.,No o duoi cai ghe.
Đó là một câu chuyện rất buồn.,Do la mot cau chuyen rat buon.
Đó là một điều bất khả thi.,Do la mot dieu bat kha thi.
Cái này làm tôi phát điên mất!,Cai nay lam toi phat dien mat!
Đó là bài hát yêu thích của tôi.,Do la bai hat yeu thich cua toi.
Đó vẫn là một rủi ro lớn.,Do van la mot rui ro lon.
Giữ im lặng trong đó.,Giu im lang trong do.
Tránh voi chả xấu mặt nào.,Tranh voi cha xau mat nao.
Hãy bắt đầu với bia.,Hay bat dau voi bia.
Hãy dừng việc này lại.,Hay dung viec nay lai.
Cha nào con nấy.,Cha nao con nay.
Hổ phụ sinh hổ tử.,Ho phu sinh ho tu.
Con vua thì lại làm vua. Con sãi ở chùa thì quét lá đa.,Con vua thi lai lam vua. Con sai o chua thi quet la da.
Hành lý của tôi bị thiếu.,Hanh ly cua toi bi thieu.
Không ai làm việc này tốt hơn.,Khong ai lam viec nay tot hon.
Chẳng có ai có thể làm việc này tốt hơn.,Chang co ai co the lam viec nay tot hon.
Không ai hiểu được tôi hết.,Khong ai hieu duoc toi het.
Không phải việc của bạn.,Khong phai viec cua ban.
Làm ơn hãy đóng cửa.,Lam on hay dong cua.
Đừng đụng vào người tôi.,Dung dung vao nguoi toi.
Bà ấy đang chuẩn bị rời đi.,Ba ay dang chuan bi roi di.
Cô ấy đặt nó vào cái hộp.,Co ay dat no vao cai hop.
Căn nhà đó trông đẹp.,Can nha do trong dep.
Đó là đề nghị cuối cùng của tôi.,Do la de nghi cuoi cung cua toi.
Đó không phải là cách giải quyết.,Do khong phai la cach giai quyet.
Những cái rèm đã được mở.,Nhung cai rem da duoc mo.
Con lừa đang kêu be be.,Con lua dang keu be be.
Ấm nước đang sôi.,Am nuoc dang soi.
Nhà vua đã bị xử tử.,Nha vua da bi xu tu.
Sữa bị thiu rồi.,Sua bi thiu roi.
Thế giới đã thay đổi.,The gioi da thay doi.
Thế giới đã đổi thay.,The gioi da doi thay.
Đó không phải là ý của tôi.,Do khong phai la y cua toi.
Cái túi này quá nặng.,Cai tui nay qua nang.
Cái túi này nặng quá.,Cai tui nay nang qua.
Cái này cho mọi người.,Cai nay cho moi nguoi.
Về mặt đạo đức điều này là sai.,Ve mat dao duc dieu nay la sai.
điều đó không quan trọng,dieu do khong quan trong
Đây là mục tiêu chính của chúng ta.,Day la muc tieu chinh cua chung ta.
Thứ này làm việc tốt quá.,Thu nay lam viec tot qua.
Thời gian không chờ đợi một ai.,Thoi gian khong cho doi mot ai.
Thời gian không chờ đợi ai cả.,Thoi gian khong cho doi ai ca.
"Đối với tôi, nó quan trọng.","Doi voi toi, no quan trong."
Tom có vẻ bối rối.,Tom co ve boi roi.
Tom đã từng cố tự tử.,Tom da tung co tu tu.
Tom mua cho Mary một chiếc xe.,Tom mua cho Mary mot chiec xe.
Tom đã tự sát.,Tom da tu sat.
Tom đã tự tử.,Tom da tu tu.
Tom đã tự vẫn.,Tom da tu van.
Tom đã khóc được 1 tiếng đồng hồ.,Tom da khoc duoc 1 tieng dong ho.
Tom không phản bội cậu.,Tom khong phan boi cau.
Tom không thích sữa.,Tom khong thich sua.
Tom đã tốt nghiệp vào năm 2013,Tom da tot nghiep vao nam 2013
Tom là một người can đảm.,Tom la mot nguoi can dam.
Tom là một người dũng cảm.,Tom la mot nguoi dung cam.
Tom là nhà tạo mẫu tóc.,Tom la nha tao mau toc.
Tom là tài xế xa tải.,Tom la tai xe xa tai.
Tom lúc nào cũng cẩn thận.,Tom luc nao cung can than.
Tom cực kỳ lười.,Tom cuc ky luoi.
Tom rất rất lười.,Tom rat rat luoi.
Tom vô cùng lười biếng.,Tom vo cung luoi bieng.
Tom đang đi theo Mary.,Tom dang di theo Mary.
Tom tới từ Úc.,Tom toi tu Uc.
Tom đang ở trong phòng Mary.,Tom dang o trong phong Mary.
Tom quá thiếu quyết đoán.,Tom qua thieu quyet doan.
Tom quá thiếu sự quyết đoán.,Tom qua thieu su quyet doan.
Tom đang rất giận dữ.,Tom dang rat gian du.
Tom cực kỳ bối rối.,Tom cuc ky boi roi.
Tom chưa kết hôn.,Tom chua ket hon.
Tom chưa lấy vợ.,Tom chua lay vo.
Tom chưa lấy chồng.,Tom chua lay chong.
Tom vừa liên hệ với chúng tôi.,Tom vua lien he voi chung toi.
Tom biết một chút tiếng Pháp.,Tom biet mot chut tieng Phap.
Tom biết một ít tiếng Pháp.,Tom biet mot it tieng Phap.
Tom trông có vẻ hơi mệt.,Tom trong co ve hoi met.
Tom cần một cái ô.,Tom can mot cai o.
Tom cọ rửa chân.,Tom co rua chan.
Tôm đang hỏi về nó.,Tom dang hoi ve no.
Chúng tôi đã lại phải làm việc đó một lần nữa.,Chung toi da lai phai lam viec do mot lan nua.
Chúng tôi đã quỳ xuống cầu nguyện.,Chung toi da quy xuong cau nguyen.
Thực sự chúng tôi chưa bao giờ gặp nhau.,Thuc su chung toi chua bao gio gap nhau.
Chúng tôi muốn đi tiếp.,Chung toi muon di tiep.
Chúng tôi muốn tiếp tục.,Chung toi muon tiep tuc.
Chúng ta nên tiếp tục.,Chung ta nen tiep tuc.
Chúng tôi sẽ tự làm.,Chung toi se tu lam.
Chúng ta sẽ tự làm điều đó.,Chung ta se tu lam dieu do.
Ý bạn là sao?,Y ban la sao?
Bạn vừa nói gì?,Ban vua noi gi?
Bạn cần gì khác không?,Ban can gi khac khong?
Chúng ta nên trông đợi điều gì?,Chung ta nen trong doi dieu gi?
Ở đó bây giờ là mấy giờ?,O do bay gio la may gio?
Tên của cậu ta là gì vậy nhỉ?,Ten cua cau ta la gi vay nhi?
Số phòng của tôi là số nào?,So phong cua toi la so nao?
Khi nào thì Tom cần nó?,Khi nao thi Tom can no?
Nhà vệ sinh ở đâu vậy?,Nha ve sinh o dau vay?
Giám đốc đang ở đâu thế ạ?,Giam doc dang o dau the a?
Giám đốc đang ở đâu vậy ạ?,Giam doc dang o dau vay a?
Máy tính của bạn ở đâu?,May tinh cua ban o dau?
Ai trong số các bạn đã làm điều đó?,Ai trong so cac ban da lam dieu do?
Túi bạn là cái nào?,Tui ban la cai nao?
Tôi đang nói chuyện với ai đây?,Toi dang noi chuyen voi ai day?
Ai đã phát hiện ra ra-di-um?,Ai da phat hien ra ra-di-um?
Sao bạn hỏi tôi?,Sao ban hoi toi?
Sao bạn lại hỏi tôi?,Sao ban lai hoi toi?
Sao mày lại đi hỏi tao?,Sao may lai di hoi tao?
Tại sao bạn hỏi tôi?,Tai sao ban hoi toi?
Sao mày không lớn lên?,Sao may khong lon len?
Sao không ai báo cho tôi?,Sao khong ai bao cho toi?
Sao không ai nói cho tôi biết vậy?,Sao khong ai noi cho toi biet vay?
Mùa đông đang đến.,Mua dong dang den.
Mùa đông đang đến.,Mua dong dang den.
Bạn có muốn ăn gì không?,Ban co muon an gi khong?
Bạn là một người mạnh mẽ.,Ban la mot nguoi manh me.
Bạn đã uống cốc của tôi.,Ban da uong coc cua toi.
Bạn uống cốc của tôi.,Ban uong coc cua toi.
Bạn phải về nhà.,Ban phai ve nha.
Bạn phải trở về nhà.,Ban phai tro ve nha.
Cậu bơi nhanh thật đấy.,Cau boi nhanh that day.
Bạn sẽ quen với nó thôi.,Ban se quen voi no thoi.
Bạn đã làm rất tốt.,Ban da lam rat tot.
Mũi của mày đang chảy máu.,Mui cua may dang chay mau.
Mũi của bạn đang chảy máu.,Mui cua ban dang chay mau.
Mũi của cậu đang chảy máu.,Mui cua cau dang chay mau.
Điện thoại của bạn đang reo kìa.,Dien thoai cua ban dang reo kia.
Một người lạ đã bắt chuyện với tôi.,Mot nguoi la da bat chuyen voi toi.
Bạn chỉ toàn than phiền.,Ban chi toan than phien.
Ấy có sợ chó không?,Ay co so cho khong?
Bạn đang ở trong thư viện phải không?,Ban dang o trong thu vien phai khong?
Chủ Nhật quán có làm không?,Chu Nhat quan co lam khong?
Bạn đã sẵn sàng quẩy chưa?,Ban da san sang quay chua?
Bạn đã sẵn sàng để quẩy chưa?,Ban da san sang de quay chua?
Các bạn đã sẵn sàng để quẩy chưa?,Cac ban da san sang de quay chua?
Chậm còn hơn không.,Cham con hon khong.
Muộn còn hơn không.,Muon con hon khong.
Cẩn tắc vô áy náy.,Can tac vo ay nay.
Bây giờ tôi mở mắt được chưa?,Bay gio toi mo mat duoc chua?
Tôi có thể sờ râu của ông được không?,Toi co the so rau cua ong duoc khong?
Tôi có thể sờ râu của bạn được không?,Toi co the so rau cua ban duoc khong?
Tao có thể sờ râu của mày được không?,Tao co the so rau cua may duoc khong?
Bạn có thể nhắc lại không?,Ban co the nhac lai khong?
Cậu hát cho bọn tớ nghe một bài được không?,Cau hat cho bon to nghe mot bai duoc khong?
"Trước khi thương người, hãy thương lấy người nhà mình.","Truoc khi thuong nguoi, hay thuong lay nguoi nha minh."
Hãy đóng cửa.,Hay dong cua.
Làm ơn hãy đóng cửa.,Lam on hay dong cua.
Cho tôi mượn cái điện thoại của bạn có được không?,Cho toi muon cai dien thoai cua ban co duoc khong?
Bạn tìm thấy chìa khóa chưa?,Ban tim thay chia khoa chua?
Bạn tìm thấy chìa khóa chưa thế?,Ban tim thay chia khoa chua the?
Chìa khóa tìm thấy chưa?,Chia khoa tim thay chua?
Tui bây có biết nhau không?,Tui bay co biet nhau khong?
Tụi mày có biết nhau không?,Tui may co biet nhau khong?
Tụi mày có quen nhau không?,Tui may co quen nhau khong?
Tụi bây có quen nhau không?,Tui bay co quen nhau khong?
Các bạn có quen nhau không?,Cac ban co quen nhau khong?
Các bạn có biết nhau không?,Cac ban co biet nhau khong?
Bạn biết bố cô ấy không?,Ban biet bo co ay khong?
Cậu có thích mèo đen không?,Cau co thich meo den khong?
Xe buýt có dừng ở đây không vậy ?,Xe buyt co dung o day khong vay ?
Vui lòng cho tôi một chai bia.,Vui long cho toi mot chai bia.
Vui lòng cho tôi một lon bia.,Vui long cho toi mot lon bia.
Vui lòng cho tôi một ly bia.,Vui long cho toi mot ly bia.
Em ăn sáng chưa?,Em an sang chua?
Anh ấy biết chơi guitar.,Anh ay biet choi guitar.
Anh ta biết đánh ghi-ta.,Anh ta biet danh ghi-ta.
Gã đó khiến tôi cảm thấy ghê sợ.,Ga do khien toi cam thay ghe so.
Anh ấy là một luật sư giỏi.,Anh ay la mot luat su gioi.
Anh ấy đang cần tiền.,Anh ay dang can tien.
Anh ta không phải là người xấu.,Anh ta khong phai la nguoi xau.
Anh ta không phải người xấu.,Anh ta khong phai nguoi xau.
Anh ta học toán dở tệ.,Anh ta hoc toan do te.
Anh ấy biết là bạn biết.,Anh ay biet la ban biet.
Nó hối tiếc lỗi lầm của nó.,No hoi tiec loi lam cua no.
Anh ấy hối tiếc lỗi lầm của anh ta.,Anh ay hoi tiec loi lam cua anh ta.
Anh ấy đã ngồi cạnh tôi.,Anh ay da ngoi canh toi.
Anh ấy đã nhảy một cú lộn nhào.,Anh ay da nhay mot cu lon nhao.
Ông ấy đã nhảy lộn nhào một vòng.,Ong ay da nhay lon nhao mot vong.
Anh ấy đã làm một cú lộn nhào.,Anh ay da lam mot cu lon nhao.
Anh ấy đã thực hiện một cú lộn nhào.,Anh ay da thuc hien mot cu lon nhao.
Anh ta vội rã rời đi.,Anh ta voi ra roi di.
Anh ta kéo khóa cái túi lại.,Anh ta keo khoa cai tui lai.
Anh ấy đang sợ đến co rúm người lại.,Anh ay dang so den co rum nguoi lai.
Chiếc đầm của nó trông có vẻ rẻ tiền.,Chiec dam cua no trong co ve re tien.
Chiếc đầm của cô ta trông có vẻ rẻ.,Chiec dam cua co ta trong co ve re.
Công việc thế nào?,Cong viec the nao?
Công việc của bạn như thế nào?,Cong viec cua ban nhu the nao?
Công việc của mày dư lào?,Cong viec cua may du lao?
Những người kia đến đây bằng cách nào vậy?,Nhung nguoi kia den day bang cach nao vay?
Còn lại bao nhiêu tiền?,Con lai bao nhieu tien?
Tôi đang học tiếng Nhật.,Toi dang hoc tieng Nhat.
Tôi không biết đi xe đạp.,Toi khong biet di xe dap.
Tôi bơi không giỏi.,Toi boi khong gioi.
Tôi không có chồng.,Toi khong co chong.
Tôi không biết cái nào,Toi khong biet cai nao
Tôi không biết tên của bạn.,Toi khong biet ten cua ban.
Tôi không thích cuốn sách này.,Toi khong thich cuon sach nay.
Tôi không biết nói tiếng Nhật.,Toi khong biet noi tieng Nhat.
Tôi không nói tiếng Nhật.,Toi khong noi tieng Nhat.
Tôi không cần tiền.,Toi khong can tien.
Ta không cần lòng thương hại của các ngươi.,Ta khong can long thuong hai cua cac nguoi.
Tao không cần lòng thương hại của chúng mày.,Tao khong can long thuong hai cua chung may.
Tôi không cần lòng thương hại của các người.,Toi khong can long thuong hai cua cac nguoi.
Bây giờ tôi thấy muốn khóc.,Bay gio toi thay muon khoc.
Bây giờ tôi cảm thấy muốn khóc.,Bay gio toi cam thay muon khoc.
Tôi đi bộ đến trường.,Toi di bo den truong.
Tôi đã ăn bữa sáng trễ.,Toi da an bua sang tre.
Tôi ghét đến trường.,Toi ghet den truong.
Tôi ghét đi học.,Toi ghet di hoc.
Tôi có nghe một tiếng hét của phụ nữ.,Toi co nghe mot tieng het cua phu nu.
Tôi biết là bạn đang đùa.,Toi biet la ban dang dua.
Tao biết lúc đó mày nói đùa mà.,Tao biet luc do may noi dua ma.
Tôi biết bạn làm được mà.,Toi biet ban lam duoc ma.
Tôi thích ăn cà chua.,Toi thich an ca chua.
Tôi có chuyện cần nói với Tom.,Toi co chuyen can noi voi Tom.
Tôi cần nói chuyện với Tom.,Toi can noi chuyen voi Tom.
Tôi chỉ đến đó có một lần.,Toi chi den do co mot lan.
Tôi chỉ đến đó một lần.,Toi chi den do mot lan.
Tôi đi làm bằng xe đạp.,Toi di lam bang xe dap.
Có vẻ như tôi bị sốt.,Co ve nhu toi bi sot.
Có vẻ như là tôi bị sốt.,Co ve nhu la toi bi sot.
Tôi muốn thứ gì đó ngọt.,Toi muon thu gi do ngot.
Tôi muốn gội đầu.,Toi muon goi dau.
Tôi muốn bạn gặp Tom.,Toi muon ban gap Tom.
Tôi đã bị trói chặt bởi sự sợ hãi.,Toi da bi troi chat boi su so hai.
Lúc đó tôi không đội mũ.,Luc do toi khong doi mu.
Hôm nay tôi sẽ ở nhà.,Hom nay toi se o nha.
Tôi ước gì tôi có thêm thời gian.,Toi uoc gi toi co them thoi gian.
Tôi sẽ không quay lại.,Toi se khong quay lai.
Tôi sẽ không quay về.,Toi se khong quay ve.
Ngày mai tôi sẽ có mặt tại đó.,Ngay mai toi se co mat tai do.
Mai tôi sẽ ở đó.,Mai toi se o do.
Tôi là một tài xế taxi tốt.,Toi la mot tai xe taxi tot.
Tôi sẽ chặn họ.,Toi se chan ho.
Tôi đi đón Tom đây.,Toi di don Tom day.
Điều đó tôi nghe chán rồi.,Dieu do toi nghe chan roi.
Tôi lấy làm tiếc tôi không thể giúp được.,Toi lay lam tiec toi khong the giup duoc.
Tôi đang theo dõi cân nặng của mình.,Toi dang theo doi can nang cua minh.
Tom đang nhập viện à?,Tom dang nhap vien a?
Tom đang nhập viện có đúng không?,Tom dang nhap vien co dung khong?
Tom đang nhập viện có đúng không vậy?,Tom dang nhap vien co dung khong vay?
Tên anh ấy có thật là Tom không?,Ten anh ay co that la Tom khong?
Nó có phải là tấm hình mới chụp không?,No co phai la tam hinh moi chup khong?
Nó có vi hiến?,No co vi hien?
Cái đó có phải là kim cương thật không?,Cai do co phai la kim cuong that khong?
Nó có phải là tấm hình mới chụp không?,No co phai la tam hinh moi chup khong?
Có ghế nào trống không?,Co ghe nao trong khong?
Mẹ của mày có ở nhà không?,Me cua may co o nha khong?
Mẹ của cháu có ở nhà không?,Me cua chau co o nha khong?
Mẹ của con có ở nhà không?,Me cua con co o nha khong?
Mẹ của anh có ở nhà không?,Me cua anh co o nha khong?
Hỏi một câu chẳng mất gì.,Hoi mot cau chang mat gi.
Điều đó không khiến tôi ngạc nhiên.,Dieu do khong khien toi ngac nhien.
Điều đó không làm tôi ngạc nhiên.,Dieu do khong lam toi ngac nhien.
Điều đó không làm cho tôi ngạc nhiên.,Dieu do khong lam cho toi ngac nhien.
Tại vì tôi nhầm hay là điều đó sai vậy?,Tai vi toi nham hay la dieu do sai vay?
Trời mưa to suốt cả ngày.,Troi mua to suot ca ngay.
Đó là một xu hướng đáng buồn.,Do la mot xu huong dang buon.
Có lẽ đó là lỗi của tôi.,Co le do la loi cua toi.
"Chắc có lẽ, đó là lỗi của tôi.","Chac co le, do la loi cua toi."
Đó có lẽ là lỗi của tôi.,Do co le la loi cua toi.
Hôm nay lạnh thật đấy!,Hom nay lanh that day!
Hôm nay lạnh thực sự!,Hom nay lanh thuc su!
Bây giờ tôi mở mắt được chưa?,Bay gio toi mo mat duoc chua?
Bố tôi đã bị cho nghỉ việc.,Bo toi da bi cho nghi viec.
Da đầu tôi rất ngứa,Da dau toi rat ngua
Đừng tin người lạ.,Dung tin nguoi la.
Không ai có thể làm bất cứ điều gì.,Khong ai co the lam bat cu dieu gi.
Không một ai có thể thay thế Tom.,Khong mot ai co the thay the Tom.
Không một ai biết sự thật cả.,Khong mot ai biet su that ca.
Rõ ràng là ông ta đang nói dối.,Ro rang la ong ta dang noi doi.
Rõ ràng ông ta đang nói dối.,Ro rang ong ta dang noi doi.
Anh ta rõ ràng đang nói dối.,Anh ta ro rang dang noi doi.
Anh ta rõ ràng là đang nói dối.,Anh ta ro rang la dang noi doi.
Hãy lấy cho tôi lọ đường.,Hay lay cho toi lo duong.
Hãy mở cái chai đó ra.,Hay mo cai chai do ra.
Vui lòng thử lại sau.,Vui long thu lai sau.
Có công mài sắt có ngày nên kim.,Co cong mai sat co ngay nen kim.
Nó không bì được với tôi.,No khong bi duoc voi toi.
Cô ấy nghèo nhưng hạnh phúc.,Co ay ngheo nhung hanh phuc.
Cô ấy đang học bơi.,Co ay dang hoc boi.
Ở nhà cho đến trưa.,O nha cho den trua.
Chim nhạn bay rất nhanh.,Chim nhan bay rat nhanh.
Nói cho Tom biết bạn có ý gì.,Noi cho Tom biet ban co y gi.
Cám ơn cậu về bó hoa.,Cam on cau ve bo hoa.
Cậu bé đó rất thông minh.,Cau be do rat thong minh.
Cái đó đắt quá!,Cai do dat qua!
Đó là một điều mâu thuẫn.,Do la mot dieu mau thuan.
Đó là người quản lý mới.,Do la nguoi quan ly moi.
Kia là người quản lý mới.,Kia la nguoi quan ly moi.
Đó là nơi tôi đã lớn lên.,Do la noi toi da lon len.
Trứng vẫn còn nóng.,Trung van con nong.
Ông ta có ria mép.,Ong ta co ria mep.
Cái ở giữa là của tôi.,Cai o giua la cua toi.
Nhà hàng hết chỗ rồi.,Nha hang het cho roi.
Hôm nay chẳng có gió.,Hom nay chang co gio.
Không có gió hôm nay.,Khong co gio hom nay.
Chẳng có gió hôm nay.,Chang co gio hom nay.
Hôm nay đéo có gió.,Hom nay deo co gio.
Có rất nhiều khói.,Co rat nhieu khoi.
Họ không phải là cha mẹ tôi.,Ho khong phai la cha me toi.
Họ không phải bố mẹ của tôi.,Ho khong phai bo me cua toi.
Họ tự làm việc đó.,Ho tu lam viec do.
Suy nghĩ là miễn phí.,Suy nghi la mien phi.
Cuốn sách này rất hay.,Cuon sach nay rat hay.
Quyển sách này rất hay.,Quyen sach nay rat hay.
"Đây là bạn của tôi, Tom.","Day la ban cua toi, Tom."
Điều này không thể chấp nhận được.,Dieu nay khong the chap nhan duoc.
"Đây là bạn của chúng tôi, Tom.","Day la ban cua chung toi, Tom."
"Đây là bạn của bọn tớ, Tom","Day la ban cua bon to, Tom"
Cái này khá hay đấy.,Cai nay kha hay day.
Cái này làm tôi nhớ đến Tom.,Cai nay lam toi nho den Tom.
Hoa hồng này đẹp quá.,Hoa hong nay dep qua.
Tom trở nên khá giận dữ.,Tom tro nen kha gian du.
Tom đã trở nên rất nổi tiếng.,Tom da tro nen rat noi tieng.
Tom không thể tìm thấy túi của anh ấy.,Tom khong the tim thay tui cua anh ay.
Tom không biết nói tiếng Pháp.,Tom khong biet noi tieng Phap.
Tôm không có súng.,Tom khong co sung.
Tom chạy xe màu trắng.,Tom chay xe mau trang.
Tom rũ sạch bụi trên người.,Tom ru sach bui tren nguoi.
Tom phủi sạch bụi trên người.,Tom phui sach bui tren nguoi.
Tom vẫn chưa đến.,Tom van chua den.
Tom vẫn chưa tới.,Tom van chua toi.
Tom vẫn chưa đến.,Tom van chua den.
Tom vẫn chưa tới.,Tom van chua toi.
Tom giữ ghế cho tôi.,Tom giu ghe cho toi.
Tom bị điếc một tai.,Tom bi diec mot tai.
Tom không nghe được một bên tai.,Tom khong nghe duoc mot ben tai.
Tom bị điếc một bên tai.,Tom bi diec mot ben tai.
Tom còn trẻ và ngây thơ.,Tom con tre va ngay tho.
Tom không phải là một nhà soạn kịch.,Tom khong phai la mot nha soan kich.
Tom không phải là một người viết kịch.,Tom khong phai la mot nguoi viet kich.
Tom đã thực hiện ba thay đổi.,Tom da thuc hien ba thay doi.
Tom cần tìm kiếm sự giúp đỡ.,Tom can tim kiem su giup do.
Tom đang sở hữu một sân golf đấy.,Tom dang so huu mot san golf day.
Tom sở hữu một sân gôn.,Tom so huu mot san gon.
Tom trông có vẻ rất vui.,Tom trong co ve rat vui.
Tom chăm sóc Mary.,Tom cham soc Mary.
Tom đã nóng lòng chờ đợi.,Tom da nong long cho doi.
Tom đã say bí tỉ.,Tom da say bi ti.
Tom không ăn mừng gì cả.,Tom khong an mung gi ca.
Tom sẽ rất vui lòng,Tom se rat vui long
Chúng tôi đang học tiếng Ả rập.,Chung toi dang hoc tieng A rap.
Tụi tao đang học tiếng Ả Rập.,Tui tao dang hoc tieng A Rap.
Chúng tôi có thể hoàn tất nó sau.,Chung toi co the hoan tat no sau.
Chúng tôi có cần lời khuyên của bạn.,Chung toi co can loi khuyen cua ban.
Chúng ta trông thật tuyệt khi đi cùng nhau.,Chung ta trong that tuyet khi di cung nhau.
Chúng tôi cần nói chuyện với bạn.,Chung toi can noi chuyen voi ban.
Hai chúng tôi đều rất đói.,Hai chung toi deu rat doi.
Hai người chúng tôi đều rất đói.,Hai nguoi chung toi deu rat doi.
Hai chúng tôi đều vô cùng đói.,Hai chung toi deu vo cung doi.
Chúng tôi đã từng đến đây rồi.,Chung toi da tung den day roi.
Bạn đã nói với tôi à?,Ban da noi voi toi a?
Hắn tức giận về chuyện gì vậy?,Han tuc gian ve chuyen gi vay?
Số phòng của tôi là số nào?,So phong cua toi la so nao?
Bạn đang nhìn cái gì vậy?,Ban dang nhin cai gi vay?
Bạn đang nhìn cái gì thế?,Ban dang nhin cai gi the?
Bạn làm xong nó khi nào thế?,Ban lam xong no khi nao the?
Bạn làm xong việc đó lúc nào thế?,Ban lam xong viec do luc nao the?
Bạn sẽ tốt nghiệp khi nào?,Ban se tot nghiep khi nao?
Khi nào thì bạn sẽ tốt nghiệp?,Khi nao thi ban se tot nghiep?
Bạn lấy cái đó ở đâu?,Ban lay cai do o dau?
Mày đã gặp Tom ở đâu?,May da gap Tom o dau?
Tôi có thể đón xe buýt ở đâu?,Toi co the don xe buyt o dau?
Tao có thể đón xe buýt ở đâu?,Tao co the don xe buyt o dau?
Bạn đã mua cuốn sách nào vậy?,Ban da mua cuon sach nao vay?
Ra bãi biển đi lối nào?,Ra bai bien di loi nao?
Ai đã trả lời điện thoại vậy?,Ai da tra loi dien thoai vay?
Ai đã ăn hết phô mai thế?,Ai da an het pho mai the?
Sao bạn vẫn còn ở đây?,Sao ban van con o day?
Sao cậu không làm việc?,Sao cau khong lam viec?
Tại sao tôi phải ghen tỵ?,Tai sao toi phai ghen ty?
Còn ai khác sắp tới không?,Con ai khac sap toi khong?
Bạn còn rất nhiều thời gian.,Ban con rat nhieu thoi gian.
Bạn đã có thể nói cho tôi biết.,Ban da co the noi cho toi biet.
Cậu bỏ lỡ nó phải không?,Cau bo lo no phai khong?
Bạn không được đọc nhiều.,Ban khong duoc doc nhieu.
Có lẽ là bạn nên đi.,Co le la ban nen di.
Bạn không đủ nhanh.,Ban khong du nhanh.
"Ai đã làm điều đó? ""Là tôi.""","Ai da lam dieu do? ""La toi."""
